,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,17Networks_1,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_1,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17
Age (years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,2.47926756718003,2.386824686297046,2.528514046329508,2.847921942480108,2.723753854504706,2.745709309770622,3.103140653832883,3.0078260229775893,3.274325479059109,2.9997346540515757,2.785712159450153,2.7817787737758213,2.934070300900534,3.073804135143237,3.0278007300156466,3.037885692891266,3.1848907738469303,0.1086035604781443,0.11608805218917109,0.12169622468591766,0.11487957497533025,0.10719050594172039,0.11157821235835265,0.09889215962357331,0.10873129858537153,0.13364249521910146,0.1268281686901662,0.12356116627918481,0.10129294227518518,0.11038380378879847,0.12256758420939477,0.12711362764611858,0.1046838215926691,0.11154780648318573
6.0,2.454107046476644,2.355503475963493,2.503716492998988,2.824188523823022,2.689957295211235,2.7168791564451635,3.075780738292165,2.978477874216222,3.26194897130087,2.964847623604039,2.748421055101961,2.752959670499186,2.9005333985665795,3.041781111881436,2.9965911934195946,2.9993786200981787,3.153529255630805,0.10728332631834746,0.11480020512721295,0.12034088821926398,0.11394938324493865,0.10631283143043746,0.11062042195820528,0.09835069348822272,0.10783001141393117,0.1328340032649664,0.12523569419779482,0.1229174854268464,0.10080761394320692,0.1094445565414843,0.12169356432613279,0.1265482305468614,0.10398416794731626,0.11064292059379671
7.0,2.4303823236413638,2.3258194718058145,2.4803423926857264,2.8015381935962855,2.6580743809637766,2.689580191935464,3.0497279528249894,2.950595184424901,3.25025237492535,2.9318011275444387,2.713212251046331,2.7256170042165073,2.8687991698197264,3.011429287689766,2.967037497661252,2.9629500903756054,3.123743968324666,0.10602989582985613,0.11356584435052286,0.1190819885424336,0.1130708961185455,0.10547141035947197,0.10971249704221613,0.09781810665780911,0.10695853824483564,0.13204804404813947,0.12373217951041382,0.12228215501278432,0.10032574103418326,0.10853279506066771,0.1208545508872536,0.12599036084349347,0.10330456802906102,0.10976322130455757
8.0,2.408053196593712,2.2977290485528106,2.4583482879516767,2.7799422558335056,2.628050840121288,2.663768906621884,3.0249463071097225,2.9241373017825865,3.239214701414592,2.9005470227371486,2.680026601163429,2.69971029672871,2.838816770708538,2.9827016352724973,2.9390935058812016,2.9285425778880354,3.0954909325648963,0.104840451687075,0.11238406613095824,0.11791574035957626,0.11224265517340826,0.10466499906328254,0.10885284847693161,0.09729503289338962,0.1061163557160305,0.13128370672992043,0.1223146969718126,0.12165587364734552,0.0998485641318177,0.10764818727627778,0.12004908192710287,0.12544070021623976,0.10264483501351607,0.10890837822328597
9.0,2.38707946325321,2.2711885809332353,2.4376907213588295,2.7593720145682985,2.599832401042769,2.639401790884788,3.0013998108247306,2.899063574468233,3.22881496225065,2.8710371660464937,2.6488049593334395,2.675199069836727,2.810535357281536,2.955551127333913,2.912713081219973,2.8960985567999034,3.068726168987876,0.10371236805778573,0.11125394629957237,0.1168384573991769,0.11146325838463962,0.1038924934650496,0.1080399721707521,0.09678209625214948,0.10530299018426542,0.13054030736726108,0.12098034045382054,0.12103942231702608,0.09937725407241385,0.10679045213030648,0.11927588071648874,0.12490001764248658,0.10200483702828579,0.1080781267760597
10.0,2.3674209215394137,2.24615444367588,2.4183262354691726,2.739798773834285,2.5733647920871974,2.6164353351045833,2.97905247364838,2.8753333506608043,3.2190321689155974,2.843223414336846,2.6194881794365523,2.65204284534151,2.7839040855872725,2.9299307365782568,2.887850086818163,2.8655605012756897,3.0434056982300115,0.10264320559565665,0.11017455105756113,0.11584656257063909,0.11073136100463257,0.1031529181076814,0.10727244595743561,0.09627990503355963,0.10451800968215692,0.12981735726343907,0.11972624141626773,0.12043363019236152,0.09891291227138198,0.10595935144841669,0.11853383847191316,0.12436913962825918,0.10138448625785539,0.10727225610733418
11.0,2.3490373693718265,2.222583011509515,2.4002113728446672,2.7211938376650586,2.5485937416135562,2.5948260296616006,2.957868305259039,2.8529059785392468,3.2098453328914633,2.817057624472507,2.5920171153529177,2.6302011450439595,2.758872111674308,2.9057934357098136,2.8644583858163175,2.8368708854798292,3.019485540927676,0.1016307049242623,0.10914494601425902,0.11493659581547769,0.11004567561284041,0.1024454160050921,0.10654892642467542,0.09578904779153224,0.10376101769593843,0.1291145354829845,0.11854958194447102,0.11983934801064154,0.09845657227923317,0.10515468368376718,0.1178219984020994,0.12384892634432672,0.10078373014568065,0.10649059938729548
12.0,2.3318886046699943,2.200430659162906,2.383302676047298,2.7035285100942463,2.5254649779808327,2.574530364936264,2.937811315335087,2.831740806282532,3.2012334656603088,2.7924916533178803,2.5663326209627173,2.609633490745037,2.7353885915911853,2.8830921974328607,2.8424918413549856,2.8099721835768063,2.996921717717255,0.10067277888458659,0.10816420345729422,0.1141052197766738,0.10940497147562325,0.10176923920902822,0.105868145716394,0.09531009103326488,0.10303164841643055,0.12843166502687867,0.11744760502779375,0.11925742799422738,0.09800920232234792,0.10437627920607523,0.11713954086924358,0.12334025281075343,0.1002025444004592,0.10573302616231132
13.0,2.315934425353463,2.1796537613648383,2.3675566876390306,2.686774095155468,2.5039242295479944,2.5555048313089235,2.9188455135548845,2.811797182069622,3.1931755787041833,2.769477357737278,2.5423755501461227,2.590299404245661,2.713402681386443,2.861779994451648,2.821904316574747,2.7848068697310597,2.9756702492351526,0.09976750381936579,0.1072314079531828,0.11334922346096613,0.1088080733505351,0.10112374002227767,0.10522890833916249,0.09484357827985972,0.1023295631794999,0.12776869221537637,0.11641762236428903,0.11868870929270339,0.09757170861237051,0.10362399685605209,0.11648576953588377,0.12284399434779149,0.0996409275340615,0.10499943642077149
14.0,2.3011346293417416,2.1602086928440896,2.3529299501818737,2.670901896882323,2.4839172246740415,2.5377059191599445,2.900934909596797,2.7930344540794616,3.1856506835051532,2.747966594595057,2.5200867567833174,2.5721584073467723,2.692863537108633,2.8418097994704588,2.8026496746161493,2.7613174181070597,2.9556871561177407,0.09891311015554856,0.10634566043628679,0.11266552409972437,0.10825385985957656,0.1005083628125778,0.10463008800228167,0.09439003021271787,0.101654447865037,0.12712566887456528,0.11545701998271246,0.11813400800353036,0.09714493923643959,0.10289772152743762,0.11586009842674047,0.12236101559276337,0.09909889668348734,0.10428975608411921
15.0,2.28744901455437,2.142051828329423,2.3393790062377637,2.6558832193084214,2.465389691717941,2.521090118869725,2.884043513139201,2.7754119704910236,3.1786377915452624,2.727911220755567,2.4994070947544893,2.5551700218492894,2.6737203148062965,2.8231345851935514,2.784681778619756,2.7394463028692604,2.9369284590014053,0.0981079725252539,0.10550608097721018,0.11205116742894376,0.10774126154334963,0.09992263639578197,0.10407062451860165,0.09394994567301661,0.1010060110662063,0.12650273696854236,0.11456326196886173,0.11759411091601504,0.0967296884675602,0.10219736257591283,0.11526203986786879,0.121892162466618,0.09857648449624197,0.1036039336697802
16.0,2.2748373789108847,2.125139542549626,2.3268603983687077,2.6416893664673924,2.4482873590386833,2.505613920818623,2.8681353338604634,2.758889079483248,3.172115914306569,2.709263093083156,2.4802774179397753,2.5392937695541606,2.6559221705279885,2.805707324325211,2.767954491726124,2.719135998182122,2.919350178522554,0.09735059963962372,0.10471181043507206,0.11150332661170406,0.1072692586941399,0.09936616696448174,0.10354952078984593,0.0935238033194569,0.10038398287492904,0.1259001153614998,0.11373389257157425,0.11706977222505553,0.09632670135956042,0.10152285288640157,0.11469119328109509,0.12143825655601152,0.09807373688590966,0.10294193790770301
17.0,2.2632595203308217,2.1094282102334656,2.315330669136684,2.6282916423928344,2.4325559549952436,2.491233815387039,2.8531743814389614,2.7434251292351144,3.1660640632711132,2.6919740684421627,2.4626385802193895,2.524489172262317,2.639418260322249,2.7894809895696944,2.7524216770758225,2.7003289782101,2.9029083353175555,0.09663962410181624,0.10396201119744475,0.1110193000204644,0.10683687905183531,0.09883863154155231,0.10306583989650289,0.09311206378224399,0.09978811415683393,0.12531808843277542,0.11296653694719248,0.11656171256515309,0.09593667851385572,0.1008741484580212,0.11414723481639205,0.12100009145414693,0.09759071149113231,0.10230375612450719
18.0,2.2526752367337033,2.0948742061097296,2.304746361103647,2.6156613511183693,2.4181412079466127,2.4779062929553044,2.8391246655530527,2.728979467925572,3.1604612499209557,2.675996003696943,2.446431435473482,2.5107157517746845,2.624157740237627,2.7744085536312686,2.738037197809404,2.6829677171176565,2.8875589500228136,0.09597379231713705,0.10325586720184585,0.11059650808454541,0.10644319543300725,0.09833977193875167,0.1026187023085998,0.09271517217937209,0.09921817621075817,0.1247569963029825,0.11225890078169375,0.11607061981529311,0.0955602809254824,0.10025122838964427,0.11362990780335303,0.12057843067436956,0.09712747669581553,0.10168939323829719
